korean_name,romanized_name
갈비구이,Galbigui
갈치구이,Galchigui
고등어구이,Godeungeogui
곱창구이,Gopchanggui
닭갈비,Dakgalbi
더덕구이,Deodeokgui
떡갈비,Tteokgalbi
불고기,Bulgogi
삽겹살,Sapgyeopsal
장어구이,Jangeogui
조개구이,Jogaegui
훈제오리,Hunjeori
계란국,Gyeranguk
떡국_만두국,Tteokguk_Manduguk
무국,Muguk
미역국,Miyeokguk
육개장,Yukgaejang
콩나물국,Kongnamulguk
갓김치,Gatgimchi
깍두기,Kkakdugi
무생채,Musaengchae
배추김치,Baechugimchi
부추김치,Buchugimchi
미역줄기볶음,Miyeokjulgibokkeum
시금치나물,Sigeumchinamul
만두,Mandu
라면,Ramyeon
물냉면,Mullaengmyeon
비빔냉면,Bibimnaengmyeon
잔치국수,Janchiguksu
짜장면,Jjajangmyeon
짬뽕,Jjamppong
칼국수,Kalguksu
꽈리고추무침,Kkwarigochumuchim
도토리묵,Dotorimuk
잡채,Japchae
콩나물무침,Kongnamulmuchim
김밥,Gimbap
김치볶음밥,Gimchibokkeumbap
비빔밥,Bibimbap
유부초밥,Yubuchobap
잡곡밥,Japgokbap
고추장진미채볶음,Gochujangjinmichaebokkeum
떡볶이,Tteokbokki
멸치볶음,Myeolchibokkeum
소세지볶음,Sosejibokkeum
어묵볶음,Eomukbokkeum
제육볶음,Jeyukbokkeum
보쌈,Bossam
간장게장,Ganjanggejang
깻잎장아찌,Kkaesipjangajji
계란말이,Gyeranmari
계란후라이,Gyeranhurai
김치전,Gimchijeon
동그랑땡,Donggeurangttaeng
파전,Pajeon
두부조림,Dubujorim
메추리알장조림,Mechurialjangjorim
연근조림,Yeongeunjorim
우엉조림,Ueongjorim
장조림,Jangjorim
김치찌개,Gimchijjigae
된장찌개,Doenjangjjigae
갈비찜,Galbijjim
계란찜,Gyeranjjim
족발,Jokbal
찜닭,Jjimdak
양념치킨,Yangnyeom_chicken
피자,pizza
후라이드치킨,fried_chicken
콩자반,Kongjaban